scope,key,value
overall,samples,384
split,train,306
split,val,78
label,0,240
label,1,144
case_type,finance_semantic_contrast_fraud,144
case_type,normal_finance_hard_negative,240
source,semantic_contrast_fraud,144
source,semantic_contrast_normal_finance,240
scenario,fraud_account_security_remote,24
scenario,fraud_contract_business_payment,24
scenario,fraud_family_expense_emergency,24
scenario,fraud_loan_credit_pressure,24
scenario,fraud_payment_app_impersonation,24
scenario,fraud_refund_compensation,24
scenario,normal_account_security_discussion,30
scenario,normal_banking_admin_discussion,30
scenario,normal_contract_salary_discussion,30
scenario,normal_credit_repayment_discussion,30
scenario,normal_ecommerce_refund_discussion,30
scenario,normal_life_expense_discussion,30
scenario,normal_payment_app_discussion,30
scenario,normal_political_economy_discussion,30
